SystemTimeToFileTime	KERNEL32$SystemTimeToFileTime	WINBASEAPI WINBOOL WINAPI KERNEL32$SystemTimeToFileTime (CONST SYSTEMTIME *lpSystemTime, LPFILETIME lpFileTime);
SystemTimeToTzSpecificLocalTime	KERNEL32$SystemTimeToTzSpecificLocalTime	WINBASEAPI WINBOOL WINAPI KERNEL32$SystemTimeToTzSpecificLocalTime (CONST TIME_ZONE_INFORMATION *lpTimeZoneInformation, CONST SYSTEMTIME *lpUniversalTime, LPSYSTEMTIME lpLocalTime);
GlobalMemoryStatusEx	KERNEL32$GlobalMemoryStatusEx	WINBASEAPI WINBOOL WINAPI KERNEL32$GlobalMemoryStatusEx (LPMEMORYSTATUSEX lpBuffer);
GetDiskFreeSpaceExA	KERNEL32$GetDiskFreeSpaceExA	WINBASEAPI WINBOOL WINAPI KERNEL32$GetDiskFreeSpaceExA (LPCSTR lpDirectoryName, PULARGE_INTEGER lpFreeBytesAvailableToCaller, PULARGE_INTEGER lpTotalNumberOfBytes, PULARGE_INTEGER lpTotalNumberOfFreeBytes);
GetCurrentProcess	KERNEL32$GetCurrentProcess	WINBASEAPI HANDLE WINAPI KERNEL32$GetCurrentProcess (VOID);
GetCurrentProcessId	KERNEL32$GetCurrentProcessId	DECLSPEC_IMPORT DWORD KERNEL32$GetCurrentProcessId(VOID);
GetLastError	KERNEL32$GetLastError	WINBASEAPI DWORD WINAPI KERNEL32$GetLastError (VOID);
CloseHandle	KERNEL32$CloseHandle	WINBASEAPI WINBOOL WINAPI KERNEL32$CloseHandle (HANDLE hObject);
CreateThread	KERNEL32$CreateThread	WINBASEAPI HANDLE WINAPI KERNEL32$CreateThread (LPSECURITY_ATTRIBUTES lpThreadAttributes, SIZE_T dwStackSize, LPTHREAD_START_ROUTINE lpStartAddress, LPVOID lpParameter, DWORD dwCreationFlags, LPDWORD lpThreadId);
GetTickCount	KERNEL32$GetTickCount	WINBASEAPI DWORD WINAPI KERNEL32$GetTickCount (VOID);
GetTickCount64	KERNEL32$GetTickCount64	WINBASEAPI ULONGLONG WINAPI KERNEL32$GetTickCount64 (VOID);
CreateFiber	KERNEL32$CreateFiber	WINBASEAPI LPVOID WINAPI KERNEL32$CreateFiber (SIZE_T dwStackSize, LPFIBER_START_ROUTINE lpStartAddress, LPVOID lpParameter);
ConvertThreadToFiber	KERNEL32$ConvertThreadToFiber	WINBASEAPI LPVOID WINAPI KERNEL32$ConvertThreadToFiber (LPVOID lpParameter);
ConvertFiberToThread	KERNEL32$ConvertFiberToThread	WINBASEAPI WINBOOL WINAPI KERNEL32$ConvertFiberToThread (VOID);
DeleteFiber	KERNEL32$DeleteFiber	WINBASEAPI VOID WINAPI KERNEL32$DeleteFiber (LPVOID lpFiber);
SwitchToFiber	KERNEL32$SwitchToFiber	WINBASEAPI VOID WINAPI KERNEL32$SwitchToFiber (LPVOID lpFiber);
WaitForSingleObject	KERNEL32$WaitForSingleObject	WINBASEAPI DWORD WINAPI KERNEL32$WaitForSingleObject (HANDLE hHandle, DWORD dwMilliseconds);
Sleep	KERNEL32$Sleep	WINBASEAPI VOID WINAPI KERNEL32$Sleep (DWORD dwMilliseconds);
DeleteFileW	KERNEL32$DeleteFileW	WINBASEAPI WINBOOL WINAPI KERNEL32$DeleteFileW (LPCWSTR lpFileName);
CreateFileW	KERNEL32$CreateFileW	WINBASEAPI HANDLE WINAPI KERNEL32$CreateFileW (LPCWSTR lpFileName, DWORD dwDesiredAccess, DWORD dwShareMode, LPSECURITY_ATTRIBUTES lpSecurityAttributes, DWORD dwCreationDisposition, DWORD dwFlagsAndAttributes, HANDLE hTemplateFile);
GetFileSize	KERNEL32$GetFileSize	WINBASEAPI DWORD WINAPI KERNEL32$GetFileSize (HANDLE hFile, LPDWORD lpFileSizeHigh);
ReadFile	KERNEL32$ReadFile	WINBASEAPI WINBOOL WINAPI KERNEL32$ReadFile (HANDLE hFile, LPVOID lpBuffer, DWORD nNumberOfBytesToRead, LPDWORD lpNumberOfBytesRead, LPOVERLAPPED lpOverlapped);
OpenProcess	KERNEL32$OpenProcess	WINBASEAPI HANDLE WINAPI KERNEL32$OpenProcess (DWORD dwDesiredAccess, WINBOOL bInheritHandle, DWORD dwProcessId);
GetComputerNameExW	KERNEL32$GetComputerNameExW	WINBASEAPI WINBOOL WINAPI KERNEL32$GetComputerNameExW (COMPUTER_NAME_FORMAT NameType, LPWSTR lpBuffer, LPDWORD nSize);
lstrlenW	KERNEL32$lstrlenW	WINBASEAPI int WINAPI KERNEL32$lstrlenW (LPCWSTR lpString);
lstrcatW	KERNEL32$lstrcatW	WINBASEAPI LPWSTR WINAPI KERNEL32$lstrcatW (LPWSTR lpString1, LPCWSTR lpString2);
lstrcpynW	KERNEL32$lstrcpynW	WINBASEAPI LPWSTR WINAPI KERNEL32$lstrcpynW (LPWSTR lpString1, LPCWSTR lpString2, int iMaxLength);
GetFullPathNameW	KERNEL32$GetFullPathNameW	WINBASEAPI DWORD WINAPI KERNEL32$GetFullPathNameW (LPCWSTR lpFileName, DWORD nBufferLength, LPWSTR lpBuffer, LPWSTR *lpFilePart);
GetFileAttributesW	KERNEL32$GetFileAttributesW	WINBASEAPI DWORD WINAPI KERNEL32$GetFileAttributesW (LPCWSTR lpFileName);
GetCurrentDirectoryW	KERNEL32$GetCurrentDirectoryW	WINBASEAPI DWORD WINAPI KERNEL32$GetCurrentDirectoryW (DWORD nBufferLength, LPWSTR lpBuffer);
FindFirstFileW	KERNEL32$FindFirstFileW	WINBASEAPI HANDLE WINAPI KERNEL32$FindFirstFileW (LPCWSTR lpFileName, LPWIN32_FIND_DATAW lpFindFileData);
FindFirstFileA	KERNEL32$FindFirstFileA	WINBASEAPI HANDLE WINAPI KERNEL32$FindFirstFileA (char * lpFileName, LPWIN32_FIND_DATA lpFindFileData);
FindNextFileW	KERNEL32$FindNextFileW	WINBASEAPI WINBOOL WINAPI KERNEL32$FindNextFileW (HANDLE hFindFile, LPWIN32_FIND_DATAW lpFindFileData);
FindNextFileA	KERNEL32$FindNextFileA	WINBASEAPI WINBOOL WINAPI KERNEL32$FindNextFileA (HANDLE hFindFile, LPWIN32_FIND_DATA lpFindFileData);
FindClose	KERNEL32$FindClose	WINBASEAPI WINBOOL WINAPI KERNEL32$FindClose (HANDLE hFindFile);
SetLastError	KERNEL32$SetLastError	WINBASEAPI VOID WINAPI KERNEL32$SetLastError (DWORD dwErrCode);
GlobalAlloc	KERNEL32$GlobalAlloc	DECLSPEC_IMPORT HGLOBAL KERNEL32$GlobalAlloc(UINT uFlags, SIZE_T dwBytes);
GlobalFree	KERNEL32$GlobalFree	DECLSPEC_IMPORT HGLOBAL KERNEL32$GlobalFree(HGLOBAL hMem);
GetEnvironmentStrings	KERNEL32$GetEnvironmentStrings	DECLSPEC_IMPORT LPTCH WINAPI KERNEL32$GetEnvironmentStrings();
FreeEnvironmentStringsA	KERNEL32$FreeEnvironmentStringsA	DECLSPEC_IMPORT WINBASEAPI BOOL WINAPI KERNEL32$FreeEnvironmentStringsA(LPSTR);
ExpandEnvironmentStringsW	KERNEL32$ExpandEnvironmentStringsW	WINBASEAPI DWORD WINAPI KERNEL32$ExpandEnvironmentStringsW (LPCWSTR lpSrc, LPWSTR lpDst, DWORD nSize);
CreateToolhelp32Snapshot	KERNEL32$CreateToolhelp32Snapshot	WINBASEAPI HANDLE WINAPI KERNEL32$CreateToolhelp32Snapshot(DWORD dwFlags,DWORD th32ProcessID);
Process32First	KERNEL32$Process32First	WINBASEAPI WINBOOL WINAPI KERNEL32$Process32First(HANDLE hSnapshot,LPPROCESSENTRY32 lppe);
Process32Next	KERNEL32$Process32Next	WINBASEAPI WINBOOL WINAPI KERNEL32$Process32Next(HANDLE hSnapshot,LPPROCESSENTRY32 lppe);
Module32First	KERNEL32$Module32First	WINBASEAPI WINBOOL WINAPI KERNEL32$Module32First(HANDLE hSnapshot,LPMODULEENTRY32 lpme);
Module32Next	KERNEL32$Module32Next	WINBASEAPI WINBOOL WINAPI KERNEL32$Module32Next(HANDLE hSnapshot,LPMODULEENTRY32 lpme);
LoadLibraryA	KERNEL32$LoadLibraryA	WINBASEAPI HMODULE WINAPI KERNEL32$LoadLibraryA (LPCSTR lpLibFileName);
GetProcAddress	KERNEL32$GetProcAddress	WINBASEAPI FARPROC WINAPI KERNEL32$GetProcAddress (HMODULE hModule, LPCSTR lpProcName);
FreeLibrary	KERNEL32$FreeLibrary	WINBASEAPI WINBOOL WINAPI KERNEL32$FreeLibrary (HMODULE hLibModule);
lstrlenA	KERNEL32$lstrlenA	DECLSPEC_IMPORT WINBASEAPI int WINAPI KERNEL32$lstrlenA(LPCSTR);
GetLocaleInfoEx	KERNEL32$GetLocaleInfoEx	DECLSPEC_IMPORT int WINAPI KERNEL32$GetLocaleInfoEx(LPCWSTR lpLocaleName, LCTYPE LCType, LPWSTR lpLCData, int cchData);
GetSystemDefaultLocaleName	KERNEL32$GetSystemDefaultLocaleName	WINBASEAPI int WINAPI KERNEL32$GetSystemDefaultLocaleName(LPCWSTR lpLocaleName, int cchLocaleName);
LocaleNameToLCID	KERNEL32$LocaleNameToLCID	DECLSPEC_IMPORT LCID WINAPI KERNEL32$LocaleNameToLCID(LPCWSTR lpName, DWORD dwFlags);
GetDateFormatEx	KERNEL32$GetDateFormatEx	DECLSPEC_IMPORT int WINAPI KERNEL32$GetDateFormatEx(LPCWSTR lpLocaleName, DWORD dwFlags, const SYSTEMTIME *lpData, LPCWSTR lpFormat, LPWSTR lpDateStr, int cchDate, LPCWSTR lpCalendar);
WTSEnumerateSessionsA	WTSAPI32$WTSEnumerateSessionsA	DECLSPEC_IMPORT DWORD WINAPI WTSAPI32$WTSEnumerateSessionsA(LPVOID, DWORD, DWORD, PWTS_SESSION_INFO*, DWORD*);
WTSQuerySessionInformationA	WTSAPI32$WTSQuerySessionInformationA	DECLSPEC_IMPORT DWORD WINAPI WTSAPI32$WTSQuerySessionInformationA(LPVOID, DWORD, WTS_INFO_CLASS , LPSTR*, DWORD*);
WTSFreeMemory	WTSAPI32$WTSFreeMemory	DECLSPEC_IMPORT DWORD WINAPI WTSAPI32$WTSFreeMemory(PVOID);
GetAdaptersInfo	IPHLPAPI$GetAdaptersInfo	DECLSPEC_IMPORT DWORD WINAPI IPHLPAPI$GetAdaptersInfo(PIP_ADAPTER_INFO,PULONG);
GetIpForwardTable	IPHLPAPI$GetIpForwardTable	DECLSPEC_IMPORT DWORD WINAPI IPHLPAPI$GetIpForwardTable (PMIB_IPFORWARDTABLE pIpForwardTable, PULONG pdwSize, WINBOOL bOrder);
GetNetworkParams	IPHLPAPI$GetNetworkParams	DECLSPEC_IMPORT DWORD WINAPI IPHLPAPI$GetNetworkParams(PFIXED_INFO,PULONG);
GetUdpTable	IPHLPAPI$GetUdpTable	DECLSPEC_IMPORT ULONG WINAPI IPHLPAPI$GetUdpTable (PMIB_UDPTABLE UdpTable, PULONG SizePointer, WINBOOL Order);
GetTcpTable	IPHLPAPI$GetTcpTable	DECLSPEC_IMPORT ULONG WINAPI IPHLPAPI$GetTcpTable (PMIB_TCPTABLE TcpTable, PULONG SizePointer, WINBOOL Order);
GetIpNetTable	IPHLPAPI$GetIpNetTable	DECLSPEC_IMPORT ULONG WINAPI IPHLPAPI$GetIpNetTable(PMIB_IPNETTABLE IpNetTable,PULONG SizePointer, BOOL Order);
_ultoa	MSVCRT$_ultoa	WINBASEAPI char *__cdecl MSVCRT$_ultoa(unsigned long _Value,char *_Dest,int _Radix);
calloc	MSVCRT$calloc	WINBASEAPI void *__cdecl MSVCRT$calloc(size_t _NumOfElements, size_t _SizeOfElements);
memcpy	MSVCRT$memcpy	WINBASEAPI void *__cdecl MSVCRT$memcpy(void * __restrict__ _Dst,const void * __restrict__ _Src,size_t _MaxCount);
memcmp	MSVCRT$memcmp	WINBASEAPI int __cdecl MSVCRT$memcmp(const void *_Buf1,const void *_Buf2,size_t _Size);
realloc	MSVCRT$realloc	WINBASEAPI void *__cdecl MSVCRT$realloc(void *_Memory, size_t _NewSize);
free	MSVCRT$free	WINBASEAPI void __cdecl MSVCRT$free(void *_Memory);
memset	MSVCRT$memset	WINBASEAPI void __cdecl MSVCRT$memset(void *dest, int c, size_t count);
sprintf	MSVCRT$sprintf	WINBASEAPI int __cdecl MSVCRT$sprintf(char *__stream, const char *__format, ...);
vsnprintf	MSVCRT$vsnprintf	WINBASEAPI int __cdecl MSVCRT$vsnprintf(char * __restrict__ d,size_t n,const char * __restrict__ format,va_list arg);
_snwprintf	MSVCRT$_snwprintf	WINBASEAPI int __cdecl MSVCRT$_snwprintf(wchar_t * __restrict__ _Dest,size_t _Count,const wchar_t * __restrict__ _Format,...);
wcscpy_s	MSVCRT$wcscpy_s	WINBASEAPI errno_t __cdecl MSVCRT$wcscpy_s(wchar_t *_Dst, rsize_t _DstSize, const wchar_t *_Src);
wcslen	MSVCRT$wcslen	WINBASEAPI size_t __cdecl MSVCRT$wcslen(const wchar_t *_Str);
wcstombs	MSVCRT$wcstombs	WINBASEAPI size_t __cdecl MSVCRT$wcstombs(char * __restrict__ _Dest,const wchar_t * __restrict__ _Source,size_t _MaxCount);
wcscmp	MSVCRT$wcscmp	WINBASEAPI wchar_t *__cdecl MSVCRT$wcscmp(const wchar_t *_lhs,const wchar_t *_rhs);
wcstok	MSVCRT$wcstok	WINBASEAPI wchar_t *__cdecl MSVCRT$wcstok(wchar_t * __restrict__ _Str,const wchar_t * __restrict__ _Delim);
wcstok_s	MSVCRT$wcstok_s	WINBASEAPI wchar_t *__cdecl MSVCRT$wcstok_s(wchar_t *_Str,const wchar_t *_Delim,wchar_t **_Context);
wcsstr	MSVCRT$wcsstr	WINBASEAPI wchar_t *__cdecl MSVCRT$wcsstr(const wchar_t *_Str,const wchar_t *_SubStr);
wcscat	MSVCRT$wcscat	WINBASEAPI wchar_t *__cdecl MSVCRT$wcscat(wchar_t * __restrict__ _Dest,const wchar_t * __restrict__ _Source);
wcsncat	MSVCRT$wcsncat	WINBASEAPI wchar_t *__cdecl MSVCRT$wcsncat(wchar_t * __restrict__ _Dest, const wchar_t * __restrict__ _Source, size_t _Count);
strncat	MSVCRT$strncat	WINBASEAPI wchar_t *__cdecl MSVCRT$strncat(char * __restrict__ _Dest,const char * __restrict__ _Source, size_t _Count);
wcscpy	MSVCRT$wcscpy	WINBASEAPI wchar_t *__cdecl MSVCRT$wcscpy(wchar_t * __restrict__ _Dest, const wchar_t * __restrict__ _Source);
_wcsicmp	MSVCRT$_wcsicmp	WINBASEAPI int __cdecl MSVCRT$_wcsicmp(const wchar_t *_Str1,const wchar_t *_Str2);
_wcsnicmp	MSVCRT$_wcsnicmp	WINBASEAPI int __cdecl MSVCRT$_wcsnicmp(const wchar_t *_Str1,const wchar_t *_Str2, size_t _Count);
_strnicmp	MSVCRT$_strnicmp	WINBASEAPI int __cdecl MSVCRT$_strnicmp(const char *_Str1,const char *_Str2, size_t _Count);
wcschr	MSVCRT$wcschr	WINBASEAPI _CONST_RETURN wchar_t *__cdecl MSVCRT$wcschr(const wchar_t *_Str, wchar_t _Ch);
wcsrchr	MSVCRT$wcsrchr	WINBASEAPI wchar_t *__cdecl MSVCRT$wcsrchr(const wchar_t *_Str,wchar_t _Ch);
wcsrchr	MSVCRT$wcsrchr	WINBASEAPI wchar_t *__cdecl MSVCRT$wcsrchr(const wchar_t *_Str,wchar_t _Ch);
wcstoul	MSVCRT$wcstoul	WINBASEAPI unsigned long __cdecl MSVCRT$wcstoul(const wchar_t * __restrict__ _Str,wchar_t ** __restrict__ _EndPtr,int _Radix);
strcat	MSVCRT$strcat	DECLSPEC_IMPORT char * __cdecl MSVCRT$strcat(char * __restrict__ _Dest,const char * __restrict__ _Source);
strnlen	MSVCRT$strnlen	WINBASEAPI size_t __cdecl MSVCRT$strnlen(const char *_Str,size_t _MaxCount);
strlen	MSVCRT$strlen	WINBASEAPI size_t __cdecl MSVCRT$strlen(const char *_Str);
strcmp	MSVCRT$strcmp	DECLSPEC_IMPORT int __cdecl MSVCRT$strcmp(const char *_Str1,const char *_Str2);
_stricmp	MSVCRT$_stricmp	DECLSPEC_IMPORT int __cdecl MSVCRT$_stricmp(const char *string1,const char *string2);
strncmp	MSVCRT$strncmp	WINBASEAPI int __cdecl MSVCRT$strncmp(const char *_Str1,const char *_Str2,size_t _MaxCount);
strcpy	MSVCRT$strcpy	DECLSPEC_IMPORT char * __cdecl MSVCRT$strcpy(char * __restrict__ __dst, const char * __restrict__ __src);
strstr	MSVCRT$strstr	DECLSPEC_IMPORT PCHAR __cdecl MSVCRT$strstr(const char *haystack, const char *needle);
strchr	MSVCRT$strchr	DECLSPEC_IMPORT PCHAR __cdecl MSVCRT$strchr(const char *haystack, int needle);
strtok	MSVCRT$strtok	DECLSPEC_IMPORT char *__cdecl MSVCRT$strtok(char * __restrict__ _Str,const char * __restrict__ _Delim);
strtok_s	MSVCRT$strtok_s	_CRTIMP char *__cdecl MSVCRT$strtok_s(char *_Str,const char *_Delim,char **_Context);
strtoul	MSVCRT$strtoul	WINBASEAPI unsigned long __cdecl MSVCRT$strtoul(const char * __restrict__ _Str,char ** __restrict__ _EndPtr,int _Radix);
strftime	MSVCRT$strftime	WINBASEAPI size_t __cdecl MSVCRT$strftime(char *_DstBuf,size_t _SizeInBytes,const char *_Format,const struct tm *_Tm);
gmtime	MSVCRT$gmtime	WINBASEAPI struct tm * __cdecl MSVCRT$gmtime(const time_t *_Time);
wcsncat	MSVCRT$wcsncat	WINBASEAPI wchar_t * __cdecl MSVCRT$wcsncat(wchar_t * __restrict__ _Dest,const wchar_t * __restrict__ _Source,size_t _Count);
DnsQuery_A	DNSAPI$DnsQuery_A	DECLSPEC_IMPORT DNS_STATUS WINAPI DNSAPI$DnsQuery_A(PCSTR,WORD,DWORD,PIP4_ARRAY,PDNS_RECORD*,PVOID*);
DnsFree	DNSAPI$DnsFree	DECLSPEC_IMPORT VOID WINAPI DNSAPI$DnsFree(PVOID pData,DNS_FREE_TYPE FreeType);
inet_addr	WSOCK32$inet_addr	DECLSPEC_IMPORT unsigned long __stdcall WSOCK32$inet_addr(const char *cp);
DsGetDcNameA	NETAPI32$DsGetDcNameA	DECLSPEC_IMPORT DWORD WINAPI NETAPI32$DsGetDcNameA(LPVOID, LPVOID, LPVOID, LPVOID, ULONG, LPVOID);
NetUserGetInfo	NETAPI32$NetUserGetInfo	WINBASEAPI DWORD WINAPI NETAPI32$NetUserGetInfo(LPCWSTR servername,LPCWSTR username,DWORD level,LPBYTE *bufptr);
NetUserModalsGet	NETAPI32$NetUserModalsGet	WINBASEAPI DWORD WINAPI NETAPI32$NetUserModalsGet(LPCWSTR servername,DWORD level,LPBYTE *bufptr);
NetServerEnum	NETAPI32$NetServerEnum	WINBASEAPI DWORD WINAPI NETAPI32$NetServerEnum(LMCSTR servername,DWORD level,LPBYTE *bufptr,DWORD prefmaxlen,LPDWORD entriesread,LPDWORD totalentries,DWORD servertype,LMCSTR domain,LPDWORD resume_handle);
NetUserGetGroups	NETAPI32$NetUserGetGroups	WINBASEAPI DWORD WINAPI NETAPI32$NetUserGetGroups(LPCWSTR servername,LPCWSTR username,DWORD level,LPBYTE *bufptr,DWORD prefmaxlen,LPDWORD entriesread,LPDWORD totalentries);
NetUserGetLocalGroups	NETAPI32$NetUserGetLocalGroups	WINBASEAPI DWORD WINAPI NETAPI32$NetUserGetLocalGroups(LPCWSTR servername,LPCWSTR username,DWORD level,DWORD flags,LPBYTE *bufptr,DWORD prefmaxlen,LPDWORD entriesread,LPDWORD totalentries);
NetApiBufferFree	NETAPI32$NetApiBufferFree	WINBASEAPI DWORD WINAPI NETAPI32$NetApiBufferFree(LPVOID Buffer);
NetGetAnyDCName	NETAPI32$NetGetAnyDCName	WINBASEAPI DWORD WINAPI NETAPI32$NetGetAnyDCName(LPCWSTR servername,LPCWSTR domainname,LPBYTE *bufptr);
NetUserEnum	NETAPI32$NetUserEnum	WINBASEAPI DWORD WINAPI NETAPI32$NetUserEnum(LPCWSTR servername,DWORD level,DWORD filter,LPBYTE *bufptr,DWORD prefmaxlen,LPDWORD entriesread,LPDWORD totalentries,LPDWORD resume_handle);
NetGroupGetUsers	NETAPI32$NetGroupGetUsers	WINBASEAPI DWORD WINAPI NETAPI32$NetGroupGetUsers(LPCWSTR servername,LPCWSTR groupname,DWORD level,LPBYTE *bufptr,DWORD prefmaxlen,LPDWORD entriesread,LPDWORD totalentries,PDWORD_PTR ResumeHandle);
NetQueryDisplayInformation	NETAPI32$NetQueryDisplayInformation	WINBASEAPI DWORD WINAPI NETAPI32$NetQueryDisplayInformation(LPCWSTR ServerName,DWORD Level,DWORD Index,DWORD EntriesRequested,DWORD PreferredMaximumLength,LPDWORD ReturnedEntryCount,PVOID *SortedBuffer);
NetLocalGroupEnum	NETAPI32$NetLocalGroupEnum	WINBASEAPI DWORD WINAPI NETAPI32$NetLocalGroupEnum(LPCWSTR servername,DWORD level,LPBYTE *bufptr,DWORD prefmaxlen,LPDWORD entriesread,LPDWORD totalentries,PDWORD_PTR resumehandle);
NetLocalGroupGetMembers	NETAPI32$NetLocalGroupGetMembers	WINBASEAPI DWORD WINAPI NETAPI32$NetLocalGroupGetMembers(LPCWSTR servername,LPCWSTR localgroupname,DWORD level,LPBYTE *bufptr,DWORD prefmaxlen,LPDWORD entriesread,LPDWORD totalentries,PDWORD_PTR resumehandle);
NetUserSetInfo	NETAPI32$NetUserSetInfo	WINBASEAPI DWORD WINAPI NETAPI32$NetUserSetInfo(LPCWSTR servername,LPCWSTR username,DWORD level,LPBYTE buf,LPDWORD parm_err);
NetShareEnum	NETAPI32$NetShareEnum	WINBASEAPI DWORD WINAPI NETAPI32$NetShareEnum(LMSTR servername,DWORD level,LPBYTE *bufptr,DWORD prefmaxlen,LPDWORD entriesread,LPDWORD totalentries,LPDWORD resume_handle);
NetApiBufferFree	NETAPI32$NetApiBufferFree	WINBASEAPI DWORD WINAPI NETAPI32$NetApiBufferFree(LPVOID Buffer);
NetSessionEnum	NETAPI32$NetSessionEnum	WINBASEAPI DWORD WINAPI NETAPI32$NetSessionEnum(LPCWSTR servername, LPCWSTR UncClientName, LPCWSTR username, DWORD level, LPBYTE* bufptr, DWORD prefmaxlen, LPDWORD entriesread, LPDWORD totalentries, LPDWORD resumehandle);
NetWkstaUserEnum	NETAPI32$NetWkstaUserEnum	WINBASEAPI DWORD WINAPI NETAPI32$NetWkstaUserEnum(LMSTR servername,DWORD level,LPBYTE *bufptr,DWORD prefmaxlen,LPDWORD entriesread,LPDWORD totalentries,LPDWORD resumehandle);
NetWkstaGetInfo	NETAPI32$NetWkstaGetInfo	WINBASEAPI DWORD WINAPI NETAPI32$NetWkstaGetInfo(LMSTR servername,DWORD level,LPBYTE *bufptr);
NetStatisticsGet	NETAPI32$NetStatisticsGet	WINBASEAPI DWORD WINAPI NETAPI32$NetStatisticsGet(LMSTR server,LMSTR service,DWORD level,DWORD options,LPBYTE *bufptr);
NetRemoteTOD	NETAPI32$NetRemoteTOD	WINBASEAPI DWORD WINAPI NETAPI32$NetRemoteTOD(LPCWSTR UncServerName,LPBYTE  *BufferPtr);
WNetOpenEnumW	MPR$WNetOpenEnumW	WINBASEAPI DWORD WINAPI MPR$WNetOpenEnumW(DWORD dwScope, DWORD dwType, DWORD dwUsage, LPNETRESOURCEW lpNetResource, LPHANDLE lphEnum);
WNetEnumResourceW	MPR$WNetEnumResourceW	WINBASEAPI DWORD WINAPI MPR$WNetEnumResourceW(HANDLE hEnum, LPDWORD lpcCount, LPVOID lpBuffer, LPDWORD lpBufferSize);
WNetCloseEnum	MPR$WNetCloseEnum	WINBASEAPI DWORD WINAPI MPR$WNetCloseEnum(HANDLE hEnum);
WNetGetNetworkInformationW	MPR$WNetGetNetworkInformationW	WINBASEAPI DWORD WINAPI MPR$WNetGetNetworkInformationW(LPCWSTR lpProvider, LPNETINFOSTRUCT lpNetInfoStruct);
WNetGetConnectionW	MPR$WNetGetConnectionW	WINBASEAPI DWORD WINAPI MPR$WNetGetConnectionW(LPCWSTR lpLocalName, LPWSTR lpRemoteName, LPDWORD lpnLength);
WNetGetResourceInformationW	MPR$WNetGetResourceInformationW	WINBASEAPI DWORD WINAPI MPR$WNetGetResourceInformationW(LPNETRESOURCEW lpNetResource, LPVOID lpBuffer, LPDWORD lpcbBuffer, LPWSTR *lplpSystem);
WNetGetUserW	MPR$WNetGetUserW	WINBASEAPI DWORD WINAPI MPR$WNetGetUserW(LPCWSTR lpName, LPWSTR lpUserName, LPDWORD lpnLength);
WNetAddConnection2W	MPR$WNetAddConnection2W	WINBASEAPI DWORD WINAPI MPR$WNetAddConnection2W(LPNETRESOURCEW lpNetResource, LPCWSTR lpPassword, LPCWSTR lpUserName, DWORD dwFlags);
